product_name,brand,category,url,price,currency,seller
adidas Originals Heritage gazelle sneakers in pink with burgundy stripes,Adidas,shoes,https://www.asos.com/us/adidas-originals/adidas-originals-heritage-gazelle-sneakers-in-pink-with-burgundy-stripes/prd/203774478?clr=pink&colourWayId=203774480&cid=5906,63,USD,Asos
adidas Originals Nizza platform sneakers in black and white,Adidas,shoes,https://www.asos.com/us/adidas-originals/adidas-originals-nizza-platform-sneakers-in-black-and-white/prd/20628544?clr=black&colourWayId=60073499&cid=5906,75,USD,Asos
adidas Кеды Vl Court 2.0,Adidas,shoes,https://www.wildberries.ru/catalog/7003999/detail.aspx,3776,RUR,Wildberries
adidas Кроссовки Retrorun,Adidas,shoes,https://www.wildberries.ru/catalog/17397848/detail.aspx,3279,RUR,Wildberries
Кроссовки New Balance 574,New Balance,shoes,https://www.ozon.ru/product/krossovki-new-balance-574-546678806/?asb2=kGnX821a2wkVtKi-bFRuw9p86I6VGqlG6_R8QBLraLNbxXt5j6Ko_KqC1mbdnrqB&avtc=1&avte=2&avts=1683153991&keywords=кроссовки+new+balance&sh=B8OBbWW60w,18990,RUR,Ozon
New Balance 2002RD sneakers in triple black,New Balance,shoes,https://www.asos.com/us/new-balance/new-balance-2002rd-sneakers-in-triple-black/prd/204535071?clr=black&colourWayId=204535072&SearchQuery=new+balance,160,USD,Asos
FLACHE LEDERSANDALE ZUM BINDEN,Zara,shoes,https://www.zara.com/de/de/flache-ledersandale-zum-binden-p11609110.html?v1=271038544&v2=2215112,60,EUR,Zara
FLACHE VINYL-PANTOLETTE MIT NIETEN,Zara,shoes,https://www.zara.com/de/de/flache-vinyl-pantolette-mit-nieten-p13644110.html?v1=257033461&v2=2215112,30,EUR,Zara
STARTTID,Ikea,bag,https://www.ikea.com/de/de/p/starttid-rucksack-grau-00484875/,20,EUR,Ikea
VÄRLDENS,Ikea,bag,https://www.ikea.com/gb/en/p/vaerldens-cabin-bag-on-wheels-black-40519910/,63,USD,Ikea
PUMA Phase Backpack,Puma,bag,https://www.lamoda.ru/p/pu053bucjht0/bags-puma-ryukzak/,1740,RUR,lamoda
OLD SKOOL BOXED BACKPACK,Vans,bag,https://www.lamoda.ru/p/rtlacm301501/bags-vans-ryukzak/,2790,RUR,lamoda
ZAIN! Рюкзак женский,Zain,bag,https://www.wildberries.ru/catalog/6596809/detail.aspx,1264,RUR,Wildberries
"ZAIN!
Рюкзак женский городской для ноутбука",Zain,bag,https://www.wildberries.ru/catalog/45869908/detail.aspx,1540,RUR,Wildberries
Рюкзак женский ZAIN спортивный городской,Zain,bag,https://www.ozon.ru/product/ryukzak-zhenskiy-zain-sportivnyy-gorodskoy-vmestitelnyy-turisticheskiy-dlya-puteshestviy-plyazhnyy-920756111/?advert=lOQ4o94jcrU5Rog3SbwlcIrR6OrTCr_TishcXpKZFTZwuI1f11OMiotArMic9X5MqMJWfve_YeLQCa9yquC4-uFEmiLdpqYwsWssd1nKvWrqH8iiT5cGun3arS-CEJ4j5yZP9H6yT1Vev_PZFVQZPrVtUK2Cxm_0llZLYCWJyjm4cdt_GHgIsoNnku69tBKtNg2HzFowOYZy7tq5Z0h7hES0QncAgwk_vY9tAFxCqh4IEVTGk4ZhibrIr4qSCMssDgPUlJdfZMU3gNzsD73cffo9JKA2fbBWAEXnSYZmuGxqAkV3XQ&avtc=1&avte=2&avts=1683154805&keywords=zain&sh=B8OBbQP8MQ,1751,RUR,Ozon
Western Rucksack,Herschel,bag,https://www2.hm.com/de_de/productpage.1150050003.html,20,EUR,H&M
